edition,year,language,category,country_or_chapter,title,url,filename,status,size_bytes,size_mb,scraped_at
Atlas 2014,2014,ENG,Capítulo,The Armed Forces,Atlas 2014 ENG – Ch.7 The Armed Forces,https://www.resdal.org/ing/assets/atlas-2014-chapter_07_thearmedforces2.pdf,atlas-2014-chapter_07_thearmedforces2.pdf,200,1128721,1.08,2026-06-03T20:11:44.422353Z
Atlas 2014,2014,ENG,Capítulo,Defence and Community,Atlas 2014 ENG – Ch.8 Defence and Community,https://www.resdal.org/ing/assets/atlas-2014-chapter_08_defenceandnationalandinternationalcommunity22.pdf,atlas-2014-chapter_08_defenceandnationalandinternationalcommunity22.pdf,200,3936860,3.75,2026-06-03T20:11:47.653923Z
Atlas 2014,2014,ENG,Capítulo,The Caribbean,Atlas 2014 ENG – Ch.9 The Caribbean,https://www.resdal.org/ing/assets/atlas-2014-chapter_09_specialsection-thecaribbean2.pdf,atlas-2014-chapter_09_specialsection-thecaribbean2.pdf,200,3840195,3.66,2026-06-03T20:11:53.561807Z
Atlas 2014,2014,ENG,Capítulo,"Costa Rica, Haiti, Panama","Atlas 2014 ENG – Ch.10 Costa Rica, Haiti, Panama",https://www.resdal.org/ing/assets/atlas-2014-chapter_10_thecasesofcostaricahaitiandpanama22.pdf,atlas-2014-chapter_10_thecasesofcostaricahaitiandpanama22.pdf,200,3483795,3.32,2026-06-03T20:12:00.826288Z
Atlas 2014,2014,ENG,País,Argentina,Atlas 2014 ENG – Argentina,https://www.resdal.org/ing/assets/atlas-2014-chapter_11_argentina2.pdf,atlas-2014-chapter_11_argentina2.pdf,200,1833943,1.75,2026-06-03T20:12:06.206692Z
Atlas 2014,2014,ENG,País,Bolivia,Atlas 2014 ENG – Bolivia,https://www.resdal.org/ing/assets/atlas-2014-chapter_12_bolivia2.pdf,atlas-2014-chapter_12_bolivia2.pdf,200,2057232,1.96,2026-06-03T20:12:12.846842Z
Atlas 2014,2014,ENG,País,Brazil,Atlas 2014 ENG – Brazil,https://www.resdal.org/ing/assets/atlas-2014-chapter_13_brazil2.pdf,atlas-2014-chapter_13_brazil2.pdf,200,3168954,3.02,2026-06-03T20:12:18.611427Z
Atlas 2014,2014,ENG,País,Chile,Atlas 2014 ENG – Chile,https://www.resdal.org/ing/assets/atlas-2014-chapter_14_chile2.pdf,atlas-2014-chapter_14_chile2.pdf,200,1451730,1.38,2026-06-03T20:12:21.857481Z
Atlas 2014,2014,ENG,País,Colombia,Atlas 2014 ENG – Colombia,https://www.resdal.org/ing/assets/atlas-2014-chapter_15_colombia2.pdf,atlas-2014-chapter_15_colombia2.pdf,200,1631391,1.56,2026-06-03T20:12:25.914294Z
Atlas 2014,2014,ENG,País,Cuba,Atlas 2014 ENG – Cuba,https://www.resdal.org/ing/assets/atlas-2014-chapter_16_cuba22.pdf,atlas-2014-chapter_16_cuba22.pdf,200,1574925,1.5,2026-06-03T20:12:29.507247Z
