numero,titulo,year,idioma,url,filename,status,size_bytes,size_mb,scraped_at
25,25 Informe Semestral,2018,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/12/Informe-Semestral-XXV-MAPPOEA-ENG.pdf,Informe-Semestral-XXV-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:49:38.084670Z
25,25 Informe Semestral,2018,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/12/Informe-Semestral-XXV-MAPPOEA.pdf,Informe-Semestral-XXV-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:49:50.697804Z
24,24 Informe Semestral,2018,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/06/Informe-Semestral-XXIV-MAPPOEA-ENG.pdf,Informe-Semestral-XXIV-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:00.752463Z
24,24 Informe Semestral,2018,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/06/Informe-Semestral-XXIV-MAPPOEA.pdf,Informe-Semestral-XXIV-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:07.140809Z
23,23 Informe Semestral,2017,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXIII-MAPPOEA-ENG.pdf,Informe-Semestral-XXIII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:10.075414Z
23,23 Informe Semestral,2017,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXIII-MAPPOEA.pdf,Informe-Semestral-XXIII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:13.036132Z
22,22 Informe Semestral,2017,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXII-MAPPOEA-ENG.pdf,Informe-Semestral-XXII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:16.149484Z
22,22 Informe Semestral,2017,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXII-MAPPOEA.pdf,Informe-Semestral-XXII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:20.743402Z
21,21 Informe Semestral,2016,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXI-MAPPOEA-ENG.pdf,Informe-Semestral-XXI-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:25.270000Z
21,21 Informe Semestral,2016,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XXI-MAPPOEA.pdf,Informe-Semestral-XXI-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:29.927504Z
20,20 Informe Semestral,2016,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XX-MAPPOEA-ENG.pdf,Informe-Semestral-XX-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:34.444689Z
20,20 Informe Semestral,2016,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XX-MAPPOEA.pdf,Informe-Semestral-XX-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:38.583545Z
19,19 Informe Semestral,2015,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XIX-MAPPOEA-ENG.pdf,Informe-Semestral-XIX-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:44.130303Z
19,19 Informe Semestral,2015,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XIX-MAPPOEA.pdf,Informe-Semestral-XIX-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:47.445289Z
18,18 Informe Semestral,2015,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVIII-MAPPOEA-ENG.pdf,Informe-Semestral-XVIII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:51.742135Z
18,18 Informe Semestral,2015,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVIII-MAPPOEA.pdf,Informe-Semestral-XVIII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:50:55.735584Z
17,17 Informe Semestral,2014,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVII-MAPPOEA-ENG.pdf,Informe-Semestral-XVII-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:50:59.215658Z
17,17 Informe Semestral,2014,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVII-MAPPOEA.pdf,Informe-Semestral-XVII-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:51:07.714016Z
16,16 Informe Semestral,2014,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVI-MAPPOEA-ENG.pdf,Informe-Semestral-XVI-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:51:11.567416Z
16,16 Informe Semestral,2014,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XVI-MAPPOEA.pdf,Informe-Semestral-XVI-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:51:15.331918Z
15,15 Informe Semestral,2013,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XV-MAPPOEA-ENG.pdf,Informe-Semestral-XV-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:51:18.582539Z
15,15 Informe Semestral,2013,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XV-MAPPOEA.pdf,Informe-Semestral-XV-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:51:22.558367Z
14,14 Informe Semestral,2013,ENG,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XIV-MAPPOEA-ENG.pdf,Informe-Semestral-XIV-MAPPOEA-ENG.pdf,404,0,0.0,2026-06-03T19:51:26.523937Z
14,14 Informe Semestral,2013,ESP,https://www.mapp-oea.org/wp-content/uploads/2018/02/Informe-Semestral-XIV-MAPPOEA.pdf,Informe-Semestral-XIV-MAPPOEA.pdf,404,0,0.0,2026-06-03T19:51:29.868845Z
